cluster_no,cluster_no
cluster_0,cluster_0  - epidermis
cluster_1,cluster_1  - (pro-)cambium
cluster_2,cluster_2  - cortex
cluster_3,cluster_3  - dividing cells
cluster_4,cluster_4  - floral meristem
cluster_5,cluster_5  - S-phase cells
cluster_6,cluster_6  - dividing cells
cluster_7,cluster_7  - mesophyll
cluster_8,cluster_8  - xylem parenchyma
cluster_9,cluster_9  - epidermis
cluster_10,cluster_10  - epidermis/dividing
cluster_11,cluster_11  - epidermis/dividing
cluster_12,cluster_12  - phloem